1,6.382940
2,6.490130
3,6.898710
4,7.206617
5,7.417011
6,7.456849
7,7.539394
8,7.553300
9,7.858164
10,7.880136
11,7.900284
12,7.938345
13,8.156190
14,8.188333
15,8.256340
16,8.294096
17,8.366915
18,8.376637
19,8.498335
20,8.536458
21,8.568086
22,8.601682
23,8.637939
24,8.637939
25,8.637939
26,8.682530
27,8.668183
28,8.737999
29,8.765311
30,8.765596
31,8.769129
32,8.768480
33,8.791154
34,8.817947
35,8.836064
36,8.836064
37,8.840539
38,8.840539
39,8.857252
40,8.862841
41,8.865155
42,8.870375
43,8.876206
44,8.880020
45,8.890613
46,8.908945
47,8.924303
48,8.924303
49,8.935804
50,8.930002
51,8.943424
52,8.943424
53,8.950292
54,8.953436
55,8.957590
56,8.960137
57,8.960829
58,8.961969
59,8.968478
60,8.968478
61,8.966101
62,8.969788
63,8.972550
64,8.974267
65,8.975207
66,8.983220
67,8.983748
68,8.990982
69,8.990861
70,8.999301
71,8.999839
72,9.005722
73,9.004805
74,9.014833
75,9.011347
76,9.012377
77,9.017444
78,9.017444
79,9.017444
80,9.018310
81,9.022526
82,9.019975
83,9.023297
84,9.023282
85,9.023954
86,9.027052
87,9.027924
88,9.029557
89,9.029654
90,9.034727
91,9.035721
92,9.038743
93,9.038743
94,9.041790
95,9.048306
96,9.048306
97,9.052953
98,9.050212
99,9.051766
100,9.052018
101,9.059709
