1,6.252723
2,6.252723
3,6.628482
4,6.628488
5,7.047734
6,7.129283
7,7.171668
8,7.401171
9,7.577909
10,7.487720
11,7.704093
12,7.771832
13,7.977344
14,7.997064
15,8.135885
16,8.282860
17,8.399396
18,8.487510
19,8.625589
20,8.692873
21,8.616713
22,8.616716
23,8.644395
24,8.659075
25,8.675576
26,8.685292
27,8.747039
28,8.747039
29,8.746332
30,8.746332
31,8.749939
32,8.753207
33,8.758795
34,8.760616
35,8.760616
36,8.760509
37,8.772742
38,8.772742
39,8.781855
40,8.792912
41,8.792913
42,8.799004
43,8.797564
44,8.799597
45,8.805820
46,8.805366
47,8.807823
48,8.811110
49,8.812303
50,8.817298
51,8.823938
52,8.821077
53,8.826005
54,8.826394
55,8.826394
56,8.829382
57,8.832611
58,8.832279
59,8.835436
60,8.836041
61,8.840226
62,8.840226
63,8.845698
64,8.849184
65,8.851299
66,8.847438
67,8.858008
68,8.858008
69,8.858008
70,8.863090
71,8.865512
72,8.869548
73,8.868325
74,8.874830
75,8.877095
76,8.877887
77,8.880828
78,8.881705
79,8.888048
80,8.888179
81,8.890040
82,8.890060
83,8.892173
84,8.894269
85,8.895568
86,8.898696
87,8.897244
88,8.898769
89,8.899998
90,8.901810
91,8.903305
92,8.909023
93,8.910510
94,8.908421
95,8.914267
96,8.914000
97,8.914465
98,8.919544
99,8.918824
100,8.925960
101,8.925965
